timestamp,tipo_accidente,latitud,longitud,estado,unidad
1757717561,1,13.6163,-89.0234,accidente,
1757717564,1,13.6163,-89.0234,accidente,
1757717565,1,13.6163,-89.0234,accidente,
1757717568,1,13.6163,-89.0234,accidente,
1757717620,4,13.6163,-89.0234,accidente,
1757717639,4,13.6163,-89.0234,accidente,
1757717670,4,13.6163,-89.0234,accidente,
1757717700,5,13.6163,-89.0234,accidente,
1757717837,2,13.6163,-89.0233,accidente,
1757717837,2,13.6163,-89.0233,accidente,
1757717838,2,13.6163,-89.0233,accidente,
1757717838,2,13.6163,-89.0233,accidente,
1757717839,2,13.6163,-89.0233,accidente,
1757717841,2,13.6163,-89.0233,accidente,
1757717842,2,13.6163,-89.0233,accidente,
1757717843,2,13.6163,-89.0233,accidente,
1757717844,2,13.6163,-89.0233,accidente,
1757717847,2,13.6162,-89.0233,accidente,
1757717847,2,13.6162,-89.0233,accidente,
1757717848,2,13.6162,-89.0233,accidente,
1757717849,2,13.6162,-89.0233,accidente,
1757717850,2,13.6162,-89.0233,accidente,
1757717851,2,13.6162,-89.0233,accidente,
1757717852,2,13.6162,-89.0233,accidente,
1757717855,2,13.6161,-89.0232,accidente,
1757717855,2,13.6161,-89.0232,accidente,
1757717855,2,13.6161,-89.0232,accidente,
